State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra, Pune, Pune, Local, Vegetables, 1214.2, 2000, 5200, 3600, "29 Feb 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1924, 600, 1800, 900, "01 Aug 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 962.9, 1200, 3000, 2100, "10 Dec 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1161.6, 2500, 7000, 4750, "07 Nov 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 957.5, 2500, 6500, 4500, "13 Dec 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1750.2, 2000, 7000, 4500, "22 May 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 911.1, 700, 2100, 1400, "08 Dec 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1617, 2500, 7000, 4750, "24 Feb 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1303.9, 1400, 2600, 2000, "10 Sep 2025"
Maharashtra, Pune, Pune, Local, Vegetables, 981.7, 3000, 4400, 3600, "27 Sep 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 888.2, 3000, 4800, 3900, "24 Mar 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1339.3, 500, 2200, 1350, "07 Aug 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 956.4, 1400, 3000, 2200, "03 Dec 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 982.3, 2400, 6600, 4500, "23 Oct 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1196.6, 2000, 5000, 3500, "17 Jan 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1019.4, 1600, 2800, 2200, "10 Mar 2025"
Maharashtra, Pune, Pune, Local, Vegetables, 2509.9, 600, 1800, 1200, "28 Mar 2024"
Maharashtra, Pune, Pune, Local, Vegetables, 1625.5, 400, 1800, 1100, "23 Sep 2024"
