State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra,Pune,Pune,Other,Vegetables,47.90,1000,2200,1600,"11 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,47.90,1000,3500,2250,"11 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,48.00,1000,2200,1600,"06 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,48.40,1000,3500,2250,"14 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,48.60,1000,3000,2000,"20 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,49.10,1000,2500,1750,"22 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,49.10,1000,3500,2250,"10 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,49.10,1000,3500,2250,"23 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,49.70,1000,3000,2000,"04 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,49.80,1000,2000,1500,"11 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,49.90,1000,3000,2000,"23 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,50.00,1000,3000,2000,"02 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,50.10,800,2000,1400,"27 Mar 2024"
Maharashtra,Pune,Pune,Other,Vegetables,50.10,1000,6000,3500,"22 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,50.20,1000,2000,1500,"24 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,50.60,1000,2000,1500,"03 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,50.60,1000,2000,1500,"16 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,50.60,1000,2500,1750,"16 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,51.00,1000,2200,1600,"06 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,51.10,1000,2200,1600,"09 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,51.10,1500,5000,3250,"19 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,51.50,1000,3000,2000,"15 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,51.60,1000,2500,1750,"10 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,52.10,1000,2200,1600,"27 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,52.10,1000,5500,3250,"17 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,52.50,1000,2000,1500,"15 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,52.60,1000,3000,2000,"01 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,52.70,1000,3000,2000,"02 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,53.50,1000,2000,1500,"24 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,53.60,1000,2200,1600,"15 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,53.60,1000,2200,1600,"28 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,54.00,1000,2500,1750,"27 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,54.70,600,2000,1300,"03 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,54.90,1000,3000,2000,"18 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.00,1000,2200,1600,"08 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.00,1000,2500,1750,"05 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.00,1000,2800,1900,"19 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.10,1000,2500,1750,"13 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.10,1000,3000,2000,"07 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.40,1000,2000,1500,"22 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.50,1000,2500,1750,"20 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.70,1000,2200,1600,"13 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.70,1000,2500,1750,"05 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,55.80,600,3200,1900,"25 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,56.10,1000,6000,3500,"26 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,56.70,1000,2200,1600,"12 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,56.90,1000,2000,1500,"22 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,57.70,1000,2200,1600,"02 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,57.80,800,2000,1400,"28 Mar 2024"
Maharashtra,Pune,Pune,Other,Vegetables,58.00,1000,2500,1750,"18 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,58.20,800,2200,1500,"08 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,58.50,1000,3000,2000,"27 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,58.80,1000,2200,1600,"13 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,58.90,1200,2200,1700,"07 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,59.20,1000,2000,1500,"16 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,59.90,1000,2500,1750,"31 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,60.10,1500,2000,1750,"29 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,60.30,1000,4000,2500,"08 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,60.40,1000,6000,3500,"25 Nov 2024"
