State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra, Pune, Pune, Other, Fruits, 1.0, 800, 1600, 1200, "11 Oct 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 1.1, 800, 1400, 1100, "08 Jan 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 1.6, 800, 1600, 1200, "05 Feb 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 1.9, 800, 1600, 1200, "04 Sep 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 1.9, 1000, 2000, 1500, "27 Sep 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.0, 1000, 1500, 1200, "03 Oct 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 3.6, 1000, 2000, 1500, "17 Nov 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 4.6, 800, 1600, 1200, "23 Dec 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 0.8, 800, 1600, 1200, "13 Jan 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 0.8, 800, 2000, 1400, "07 Mar 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 1.5, 800, 14000, 1100, "22 Nov 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.0, 800, 1600, 1200, "21 Nov 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.4, 800, 1600, 1200, "29 Sep 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 5.2, 1000, 2000, 1500, "04 Nov 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 1, 1000, 1200, 1100, "26 Sep 2024"
Maharashtra, Pune, Pune, Other, Fruits, 1, 1000, 2000, 1500, "09 Oct 2024"
Maharashtra, Pune, Pune, Other, Fruits, 1.6, 800, 1600, 1200, "27 Dec 2024"
Maharashtra, Pune, Pune, Other, Fruits, 1.8, 800, 1800, 1300, "10 Jan 2025"
Maharashtra, Pune, Pune, Other, Fruits, 1.9, 800, 1400, 1100, "22 Jan 2025"
Maharashtra, Pune, Pune, Other, Fruits, 2.1, 800, 1600, 1200, "29 Jan 2025"
