State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator,Rolling_Modal_Price,Lag_1_Month,Lag_2_Months,Price_Change_Rate
Maharashtra, Pune, Pune, Local, Vegetables,1022.5,2000,4400,3200,2024-12-30,363,2400,0.31943142767885035,2481.6666666666665,2300.0,4000.0,0.0
Maharashtra, Pune, Pune, Local, Vegetables,1142.2,1500,3300,2400,2024-05-15,134,1800,0.4757184506455644,2525.0,1100.0,1200.0,-0.25
Maharashtra, Pune, Pune, Local, Vegetables,1142.2,1500,3300,2400,2024-05-15,134,1800,0.4757184506455644,2525.0,2400.0,4350.0,0.0
Maharashtra, Pune, Pune, Local, Vegetables,1038.3,600,2000,1300,2024-06-19,169,1400,0.7980784012298232,2495.0,2200.0,2150.0,-0.45833333333333337
Maharashtra, Pune, Pune, Local, Vegetables,839.4,1000,3000,2000,2024-01-14,12,2000,0.4194902548725637,2456.6666666666665,3150.0,2000.0,0.5384615384615385
Maharashtra, Pune, Pune, Local, Vegetables,530.0,1500,2600,2050,2025-07-18,563,1100,0.25841053144807413,2445.0,2400.0,1300.0,0.02499999999999991
Maharashtra, Pune, Pune, Local, Vegetables,751.5,1200,3000,2100,2024-03-29,87,1800,0.35768681580199907,2478.3333333333335,1100.0,1300.0,0.024390243902439046
Maharashtra, Pune, Pune, Local, Vegetables,2101.6,500,1700,1100,2024-03-08,66,1200,1.9088101725703905,2426.6666666666665,2650.0,2100.0,-0.47619047619047616
Maharashtra, Pune, Pune, Local, Vegetables,1718.2,600,1800,1200,2024-03-22,80,1200,1.4306411323896753,2408.3333333333335,1750.0,1900.0,0.09090909090909083
Maharashtra, Pune, Pune, Local, Vegetables,1304.4,500,1500,1000,2024-09-22,264,1000,1.3030969030969033,2371.6666666666665,2100.0,1200.0,-0.16666666666666663
Maharashtra, Pune, Pune, Local, Vegetables,1128.4,3500,4900,4200,2024-01-02,0,1400,0.26860271363960964,2401.6666666666665,3300.0,2000.0,3.2
Maharashtra, Pune, Pune, Local, Vegetables,1052.3,1800,3700,2750,2025-03-17,440,1900,0.38251544892766265,2426.6666666666665,2000.0,2400.0,-0.34523809523809523
